student_id,gender,average_score,attendance_percentage,study_hours_per_week,test_preparation,low_score_flag,low_attendance_flag,low_study_hours_flag,risk_level
S1000,male,34.8,84.6,4.9,none,True,False,False,Watch
S1001,female,58.9,92.2,5.2,none,False,False,False,No Risk Indicated
S1002,female,40.8,80.4,3.1,none,False,False,False,No Risk Indicated
S1003,male,48.3,76.2,5.6,none,False,False,False,No Risk Indicated
S1004,male,54.4,59.2,6.0,completed,False,True,False,No Risk Indicated
S1005,female,55.5,88.4,6.6,none,False,False,False,No Risk Indicated
S1006,male,44.4,80.9,7.6,none,False,False,False,No Risk Indicated
S1007,female,42.6,71.9,2.3,completed,False,True,True,No Risk Indicated
S1008,male,49.0,83.3,4.0,none,False,False,False,No Risk Indicated
S1009,male,44.4,76.2,4.0,none,False,False,False,No Risk Indicated
S1010,female,55.1,76.7,3.8,completed,False,False,False,No Risk Indicated
S1011,female,59.5,88.1,2.7,none,False,False,True,No Risk Indicated
S1012,female,28.0,68.6,1.0,none,True,True,True,High Risk
S1013,female,56.2,92.5,4.2,none,False,False,False,No Risk Indicated
S1014,female,53.7,68.0,2.5,completed,False,True,True,No Risk Indicated
S1015,female,36.0,75.4,4.2,none,True,False,False,Watch
S1016,female,47.6,100.0,2.4,none,False,False,True,No Risk Indicated
S1017,male,39.8,93.3,1.8,none,True,False,True,Medium Risk
S1018,female,47.6,83.0,4.5,none,False,False,False,No Risk Indicated
S1019,male,36.9,72.6,4.3,none,True,True,False,Medium Risk
S1020,female,48.7,81.7,5.2,none,False,False,False,No Risk Indicated
S1021,male,69.3,82.7,8.4,none,False,False,False,No Risk Indicated
S1022,male,39.5,82.4,4.6,none,True,False,False,Watch
S1023,female,48.0,81.1,5.0,completed,False,False,False,No Risk Indicated
S1024,female,37.6,81.7,1.8,none,True,False,True,Medium Risk
S1025,female,58.1,79.9,1.4,completed,False,False,True,No Risk Indicated
S1026,male,48.3,67.6,7.2,none,False,True,False,No Risk Indicated
S1027,female,40.7,76.8,2.2,none,False,False,True,No Risk Indicated
S1028,female,49.4,91.1,1.9,completed,False,False,True,No Risk Indicated
S1029,male,42.7,68.3,3.9,completed,False,True,False,No Risk Indicated
S1030,male,47.8,80.1,3.8,none,False,False,False,No Risk Indicated
S1031,male,60.9,73.8,2.2,completed,False,True,True,No Risk Indicated
S1032,male,52.3,83.1,3.4,none,False,False,False,No Risk Indicated
S1033,female,44.7,78.1,6.5,none,False,False,False,No Risk Indicated
S1034,female,54.2,96.8,2.4,completed,False,False,True,No Risk Indicated
S1035,male,30.8,87.1,1.2,none,True,False,True,Medium Risk
S1036,female,41.6,68.9,5.9,completed,False,True,False,No Risk Indicated
S1037,female,63.8,88.7,5.0,none,False,False,False,No Risk Indicated
S1038,male,54.0,74.3,2.8,completed,False,True,True,No Risk Indicated
S1039,female,38.6,76.2,0.8,none,True,False,True,Medium Risk
S1040,male,41.1,85.1,2.5,none,False,False,True,No Risk Indicated
S1041,female,40.8,77.1,3.9,none,False,False,False,No Risk Indicated
S1042,female,65.5,90.9,6.3,none,False,False,False,No Risk Indicated
S1043,male,41.3,74.3,1.9,none,False,True,True,No Risk Indicated
S1044,male,39.0,75.8,3.8,none,True,False,False,Watch
S1045,female,34.9,75.4,5.4,none,True,False,False,Watch
S1046,male,34.5,76.3,0.0,none,True,False,True,Medium Risk
S1047,female,60.5,93.0,6.1,none,False,False,False,No Risk Indicated
S1048,female,42.7,88.3,1.6,completed,False,False,True,No Risk Indicated
S1049,female,61.9,81.7,4.7,completed,False,False,False,No Risk Indicated
S1050,female,66.8,100.0,4.5,completed,False,False,False,No Risk Indicated
S1051,male,53.7,71.7,6.2,none,False,True,False,No Risk Indicated
S1052,male,56.3,82.7,5.1,completed,False,False,False,No Risk Indicated
S1053,male,26.9,70.2,0.0,none,True,True,True,High Risk
S1054,male,29.0,74.2,2.4,none,True,True,True,High Risk
S1055,male,39.9,75.7,4.3,none,True,False,False,Watch
S1056,female,58.4,71.4,3.6,completed,False,True,False,No Risk Indicated
S1057,male,37.4,71.5,5.0,none,True,True,False,Medium Risk
S1058,female,47.1,80.6,5.6,none,False,False,False,No Risk Indicated
S1059,female,34.1,69.8,5.2,completed,True,True,False,Medium Risk
S1060,female,61.0,90.4,3.6,none,False,False,False,No Risk Indicated
S1061,female,40.0,72.8,0.3,none,False,True,True,No Risk Indicated
S1062,male,63.1,100.0,3.1,completed,False,False,False,No Risk Indicated
S1063,female,51.4,77.5,4.8,none,False,False,False,No Risk Indicated
S1064,male,40.2,82.7,1.8,none,False,False,True,No Risk Indicated
S1065,male,49.1,69.0,5.3,completed,False,True,False,No Risk Indicated
S1066,female,67.5,99.1,5.8,completed,False,False,False,No Risk Indicated
S1067,male,48.3,93.2,4.3,none,False,False,False,No Risk Indicated
S1068,male,48.6,85.0,0.0,none,False,False,True,No Risk Indicated
S1069,male,37.7,68.5,1.4,none,True,True,True,High Risk
S1070,female,50.5,84.1,7.8,none,False,False,False,No Risk Indicated
S1071,male,39.6,70.8,2.9,none,True,True,True,High Risk
S1072,male,31.0,96.6,0.0,none,True,False,True,Medium Risk
S1073,male,76.8,90.1,6.5,completed,False,False,False,No Risk Indicated
S1074,female,43.6,83.0,4.0,completed,False,False,False,No Risk Indicated
S1075,male,42.0,57.6,6.2,none,False,True,False,No Risk Indicated
S1076,male,53.8,72.2,4.6,none,False,True,False,No Risk Indicated
S1077,male,55.1,88.9,4.9,none,False,False,False,No Risk Indicated
S1078,female,63.3,94.1,4.7,completed,False,False,False,No Risk Indicated
S1079,female,50.6,93.1,5.4,none,False,False,False,No Risk Indicated
S1080,female,49.8,66.1,8.6,none,False,True,False,No Risk Indicated
S1081,male,50.9,85.0,5.9,none,False,False,False,No Risk Indicated
S1082,male,38.2,92.2,0.8,none,True,False,True,Medium Risk
S1083,female,54.4,65.4,4.9,completed,False,True,False,No Risk Indicated
S1084,female,57.4,81.9,6.3,completed,False,False,False,No Risk Indicated
S1085,female,44.3,84.7,6.4,none,False,False,False,No Risk Indicated
S1086,male,50.9,79.0,3.1,completed,False,False,False,No Risk Indicated
S1087,male,54.7,63.5,6.3,completed,False,True,False,No Risk Indicated
S1088,female,53.9,78.7,5.9,none,False,False,False,No Risk Indicated
S1089,female,58.7,78.7,9.1,none,False,False,False,No Risk Indicated
S1090,male,37.4,80.5,2.5,none,True,False,True,Medium Risk
S1091,female,54.1,76.4,3.0,completed,False,False,False,No Risk Indicated
S1092,female,38.7,77.6,3.4,none,True,False,False,Watch
S1093,male,41.7,81.6,3.0,none,False,False,False,No Risk Indicated
S1094,female,52.5,86.4,2.2,none,False,False,True,No Risk Indicated
S1095,male,47.5,79.0,0.0,completed,False,False,True,No Risk Indicated
S1096,male,37.4,77.9,3.1,none,True,False,False,Watch
S1097,female,57.0,82.9,4.7,completed,False,False,False,No Risk Indicated
S1098,female,32.8,62.8,3.0,none,True,True,False,Medium Risk
S1099,male,75.5,86.8,7.9,completed,False,False,False,No Risk Indicated
S1100,female,38.0,82.0,4.0,none,True,False,False,Watch
S1101,male,52.0,82.4,6.6,none,False,False,False,No Risk Indicated
S1102,female,46.1,91.6,4.5,completed,False,False,False,No Risk Indicated
S1103,male,45.3,62.5,5.7,completed,False,True,False,No Risk Indicated
S1104,female,36.3,62.3,4.6,none,True,True,False,Medium Risk
S1105,female,50.6,84.7,6.7,none,False,False,False,No Risk Indicated
S1106,female,50.5,81.9,4.1,completed,False,False,False,No Risk Indicated
S1107,female,60.2,83.7,5.0,completed,False,False,False,No Risk Indicated
S1108,male,41.6,77.4,4.7,none,False,False,False,No Risk Indicated
S1109,female,39.3,88.6,3.4,none,True,False,False,Watch
S1110,male,61.1,91.3,4.8,completed,False,False,False,No Risk Indicated
S1111,female,74.1,86.8,8.5,completed,False,False,False,No Risk Indicated
S1112,female,61.9,79.4,3.5,completed,False,False,False,No Risk Indicated
S1113,male,27.5,60.9,4.8,none,True,True,False,Medium Risk
S1114,female,59.4,89.7,6.5,none,False,False,False,No Risk Indicated
S1115,female,66.0,94.2,6.3,completed,False,False,False,No Risk Indicated
S1116,male,50.8,88.4,4.0,completed,False,False,False,No Risk Indicated
S1117,male,39.1,73.2,0.0,completed,True,True,True,High Risk
S1118,male,50.3,88.7,5.0,none,False,False,False,No Risk Indicated
S1119,male,55.6,90.6,0.0,none,False,False,True,No Risk Indicated
S1120,male,80.5,97.6,6.9,completed,False,False,False,No Risk Indicated
S1121,female,32.0,73.2,4.3,none,True,True,False,Medium Risk
S1122,female,67.5,79.7,6.0,completed,False,False,False,No Risk Indicated
S1123,male,39.5,89.5,2.2,none,True,False,True,Medium Risk
S1124,female,52.1,82.6,0.9,completed,False,False,True,No Risk Indicated
