student_id,gender,parental_education,lunch,test_preparation,attendance_percentage,study_hours_per_week,math_score,reading_score,writing_score,average_score,grade,attendance_band
S1000,male,associate's degree,standard,none,84.6,4.9,35.0,34.4,35.0,34.8,F,Good (75-89%)
S1001,female,bachelor's degree,standard,none,92.2,5.2,61.5,55.2,60.1,58.9,D,Excellent (90-100%)
S1002,female,some college,standard,none,80.4,3.1,41.2,41.3,39.9,40.8,D,Good (75-89%)
S1003,male,high school,standard,none,76.2,5.6,48.7,49.8,46.5,48.3,D,Good (75-89%)
S1004,male,high school,standard,completed,59.2,6.0,52.7,56.4,54.0,54.4,D,Low (<60%)
S1005,female,associate's degree,free/reduced,none,88.4,6.6,55.3,54.5,56.7,55.5,D,Good (75-89%)
S1006,male,bachelor's degree,free/reduced,none,80.9,7.6,39.5,48.0,45.8,44.4,D,Good (75-89%)
S1007,female,some high school,free/reduced,completed,71.9,2.3,45.3,39.8,42.8,42.6,D,Average (60-74%)
S1008,male,some high school,standard,none,83.3,4.0,50.8,43.1,53.1,49.0,D,Good (75-89%)
S1009,male,associate's degree,free/reduced,none,76.2,4.0,35.2,48.4,49.5,44.4,D,Good (75-89%)
S1010,female,some high school,standard,completed,76.7,3.8,57.8,54.0,53.6,55.1,D,Good (75-89%)
S1011,female,bachelor's degree,standard,none,88.1,2.7,64.2,54.6,59.6,59.5,D,Good (75-89%)
S1012,female,high school,standard,none,68.6,1.0,33.3,27.3,23.3,28.0,F,Average (60-74%)
S1013,female,some high school,free/reduced,none,92.5,4.2,56.4,52.8,59.3,56.2,D,Excellent (90-100%)
S1014,female,bachelor's degree,standard,completed,68.0,2.5,52.1,55.2,53.9,53.7,D,Average (60-74%)
S1015,female,high school,free/reduced,none,75.4,4.2,22.4,37.4,48.3,36.0,F,Good (75-89%)
S1016,female,high school,standard,none,100.0,2.4,42.9,55.9,44.1,47.6,D,Excellent (90-100%)
S1017,male,high school,free/reduced,none,93.3,1.8,40.6,41.4,37.4,39.8,F,Excellent (90-100%)
S1018,female,some high school,standard,none,83.0,4.5,43.8,52.5,46.5,47.6,D,Good (75-89%)
S1019,male,some high school,standard,none,72.6,4.3,34.3,38.3,38.2,36.9,F,Average (60-74%)
S1020,female,some high school,free/reduced,none,81.7,5.2,42.7,49.0,54.5,48.7,D,Good (75-89%)
S1021,male,high school,standard,none,82.7,8.4,72.3,71.0,64.5,69.3,C,Good (75-89%)
S1022,male,some high school,standard,none,82.4,4.6,34.1,41.0,43.3,39.5,F,Good (75-89%)
S1023,female,associate's degree,standard,completed,81.1,5.0,46.1,44.4,53.5,48.0,D,Good (75-89%)
S1024,female,associate's degree,standard,none,81.7,1.8,41.9,35.8,35.0,37.6,F,Good (75-89%)
S1025,female,some college,standard,completed,79.9,1.4,51.4,71.3,51.6,58.1,D,Good (75-89%)
S1026,male,high school,standard,none,67.6,7.2,50.6,43.2,51.0,48.3,D,Average (60-74%)
S1027,female,some college,standard,none,76.8,2.2,38.3,39.5,44.3,40.7,D,Good (75-89%)
S1028,female,bachelor's degree,free/reduced,completed,91.1,1.9,48.5,47.4,52.2,49.4,D,Excellent (90-100%)
S1029,male,bachelor's degree,standard,completed,68.3,3.9,47.4,38.8,42.0,42.7,D,Average (60-74%)
S1030,male,some high school,standard,none,80.1,3.8,48.5,51.2,43.6,47.8,D,Good (75-89%)
S1031,male,high school,standard,completed,73.8,2.2,65.0,57.7,59.9,60.9,C,Average (60-74%)
S1032,male,high school,standard,none,83.1,3.4,49.0,51.8,56.0,52.3,D,Good (75-89%)
S1033,female,high school,standard,none,78.1,6.5,52.2,37.5,44.5,44.7,D,Good (75-89%)
S1034,female,some college,free/reduced,completed,96.8,2.4,51.3,56.3,55.1,54.2,D,Excellent (90-100%)
S1035,male,some college,free/reduced,none,87.1,1.2,35.1,27.5,29.9,30.8,F,Good (75-89%)
S1036,female,some high school,standard,completed,68.9,5.9,43.2,44.4,37.2,41.6,D,Average (60-74%)
S1037,female,some college,standard,none,88.7,5.0,61.1,72.3,58.0,63.8,C,Good (75-89%)
S1038,male,some college,standard,completed,74.3,2.8,55.9,52.5,53.6,54.0,D,Average (60-74%)
S1039,female,some high school,standard,none,76.2,0.8,39.5,34.0,42.4,38.6,F,Good (75-89%)
S1040,male,bachelor's degree,standard,none,85.1,2.5,35.6,45.4,42.4,41.1,D,Good (75-89%)
S1041,female,some high school,free/reduced,none,77.1,3.9,44.5,39.2,38.6,40.8,D,Good (75-89%)
S1042,female,bachelor's degree,standard,none,90.9,6.3,62.1,67.5,66.8,65.5,C,Excellent (90-100%)
S1043,male,some high school,standard,none,74.3,1.9,47.4,38.7,37.8,41.3,D,Average (60-74%)
S1044,male,bachelor's degree,standard,none,75.8,3.8,41.9,37.5,37.5,39.0,F,Good (75-89%)
S1045,female,bachelor's degree,standard,none,75.4,5.4,31.2,35.6,38.0,34.9,F,Good (75-89%)
S1046,male,master's degree,standard,none,76.3,0.0,41.0,38.1,24.3,34.5,F,Good (75-89%)
S1047,female,bachelor's degree,standard,none,93.0,6.1,61.5,62.2,57.8,60.5,C,Excellent (90-100%)
S1048,female,associate's degree,free/reduced,completed,88.3,1.6,40.9,40.1,47.2,42.7,D,Good (75-89%)
S1049,female,associate's degree,standard,completed,81.7,4.7,62.7,65.8,57.3,61.9,C,Good (75-89%)
S1050,female,associate's degree,standard,completed,100.0,4.5,72.2,58.5,69.6,66.8,C,Excellent (90-100%)
S1051,male,some high school,standard,none,71.7,6.2,48.5,54.1,58.4,53.7,D,Average (60-74%)
S1052,male,some college,free/reduced,completed,82.7,5.1,55.9,53.3,59.6,56.3,D,Good (75-89%)
S1053,male,some college,standard,none,70.2,0.0,29.3,24.2,27.3,26.9,F,Average (60-74%)
S1054,male,bachelor's degree,free/reduced,none,74.2,2.4,21.3,32.3,33.4,29.0,F,Average (60-74%)
S1055,male,some college,free/reduced,none,75.7,4.3,39.9,42.4,37.5,39.9,F,Good (75-89%)
S1056,female,some college,standard,completed,71.4,3.6,61.5,56.5,57.3,58.4,D,Average (60-74%)
S1057,male,associate's degree,free/reduced,none,71.5,5.0,35.7,40.3,36.3,37.4,F,Average (60-74%)
S1058,female,high school,standard,none,80.6,5.6,48.4,51.1,41.8,47.1,D,Good (75-89%)
S1059,female,some high school,free/reduced,completed,69.8,5.2,22.7,44.2,35.4,34.1,F,Average (60-74%)
S1060,female,some college,standard,none,90.4,3.6,60.2,62.4,60.4,61.0,C,Excellent (90-100%)
S1061,female,some college,free/reduced,none,72.8,0.3,34.2,42.8,43.0,40.0,D,Average (60-74%)
S1062,male,high school,standard,completed,100.0,3.1,59.2,67.8,62.3,63.1,C,Excellent (90-100%)
S1063,female,high school,standard,none,77.5,4.8,58.8,50.5,45.0,51.4,D,Good (75-89%)
S1064,male,high school,standard,none,82.7,1.8,44.3,38.0,38.2,40.2,D,Good (75-89%)
S1065,male,high school,free/reduced,completed,69.0,5.3,44.8,51.6,51.0,49.1,D,Average (60-74%)
S1066,female,some college,standard,completed,99.1,5.8,62.0,67.4,73.0,67.5,C,Excellent (90-100%)
S1067,male,associate's degree,standard,none,93.2,4.3,40.5,54.6,49.9,48.3,D,Excellent (90-100%)
S1068,male,high school,free/reduced,none,85.0,0.0,45.2,49.6,51.0,48.6,D,Good (75-89%)
S1069,male,master's degree,free/reduced,none,68.5,1.4,39.9,32.9,40.3,37.7,F,Average (60-74%)
S1070,female,bachelor's degree,standard,none,84.1,7.8,44.0,56.2,51.4,50.5,D,Good (75-89%)
S1071,male,some college,standard,none,70.8,2.9,39.1,41.2,38.6,39.6,F,Average (60-74%)
S1072,male,high school,standard,none,96.6,0.0,35.9,26.7,30.4,31.0,F,Excellent (90-100%)
S1073,male,some college,free/reduced,completed,90.1,6.5,76.4,74.9,79.0,76.8,B,Excellent (90-100%)
S1074,female,bachelor's degree,standard,completed,83.0,4.0,53.8,40.5,36.6,43.6,D,Good (75-89%)
S1075,male,associate's degree,free/reduced,none,57.6,6.2,38.9,39.7,47.3,42.0,D,Low (<60%)
S1076,male,bachelor's degree,standard,none,72.2,4.6,57.6,57.0,46.7,53.8,D,Average (60-74%)
S1077,male,some college,standard,none,88.9,4.9,51.1,63.3,50.8,55.1,D,Good (75-89%)
S1078,female,associate's degree,standard,completed,94.1,4.7,65.8,55.2,69.0,63.3,C,Excellent (90-100%)
S1079,female,high school,standard,none,93.1,5.4,48.6,53.2,49.9,50.6,D,Excellent (90-100%)
S1080,female,associate's degree,free/reduced,none,66.1,8.6,52.8,50.8,45.9,49.8,D,Average (60-74%)
S1081,male,high school,standard,none,85.0,5.9,47.8,57.8,47.1,50.9,D,Good (75-89%)
S1082,male,associate's degree,standard,none,92.2,0.8,36.2,37.4,40.9,38.2,F,Excellent (90-100%)
S1083,female,bachelor's degree,free/reduced,completed,65.4,4.9,52.5,55.6,55.1,54.4,D,Average (60-74%)
S1084,female,some high school,free/reduced,completed,81.9,6.3,55.6,66.4,50.1,57.4,D,Good (75-89%)
S1085,female,associate's degree,free/reduced,none,84.7,6.4,43.1,46.8,43.1,44.3,D,Good (75-89%)
S1086,male,some high school,standard,completed,79.0,3.1,49.8,50.3,52.7,50.9,D,Good (75-89%)
S1087,male,associate's degree,standard,completed,63.5,6.3,55.1,51.0,58.1,54.7,D,Average (60-74%)
S1088,female,some high school,free/reduced,none,78.7,5.9,53.7,53.1,54.9,53.9,D,Good (75-89%)
S1089,female,bachelor's degree,standard,none,78.7,9.1,64.0,53.3,58.8,58.7,D,Good (75-89%)
S1090,male,some high school,standard,none,80.5,2.5,41.4,34.9,35.9,37.4,F,Good (75-89%)
S1091,female,master's degree,free/reduced,completed,76.4,3.0,45.9,56.3,60.0,54.1,D,Good (75-89%)
S1092,female,bachelor's degree,standard,none,77.6,3.4,41.0,38.4,36.8,38.7,F,Good (75-89%)
S1093,male,associate's degree,standard,none,81.6,3.0,46.1,40.4,38.7,41.7,D,Good (75-89%)
S1094,female,associate's degree,free/reduced,none,86.4,2.2,57.1,46.2,54.1,52.5,D,Good (75-89%)
S1095,male,bachelor's degree,standard,completed,79.0,0.0,52.5,46.4,43.5,47.5,D,Good (75-89%)
S1096,male,master's degree,standard,none,77.9,3.1,42.6,37.5,32.1,37.4,F,Good (75-89%)
S1097,female,high school,standard,completed,82.9,4.7,65.9,55.3,49.9,57.0,D,Good (75-89%)
S1098,female,associate's degree,standard,none,62.8,3.0,40.4,22.9,35.1,32.8,F,Average (60-74%)
S1099,male,some high school,standard,completed,86.8,7.9,77.5,72.4,76.7,75.5,B,Good (75-89%)
S1100,female,associate's degree,free/reduced,none,82.0,4.0,35.5,34.9,43.7,38.0,F,Good (75-89%)
S1101,male,high school,free/reduced,none,82.4,6.6,46.4,54.4,55.2,52.0,D,Good (75-89%)
S1102,female,some college,standard,completed,91.6,4.5,48.2,52.3,37.9,46.1,D,Excellent (90-100%)
S1103,male,some college,standard,completed,62.5,5.7,43.0,46.4,46.4,45.3,D,Average (60-74%)
S1104,female,some college,free/reduced,none,62.3,4.6,37.7,35.2,36.0,36.3,F,Average (60-74%)
S1105,female,some college,standard,none,84.7,6.7,51.7,49.2,50.8,50.6,D,Good (75-89%)
S1106,female,associate's degree,standard,completed,81.9,4.1,51.2,49.1,51.1,50.5,D,Good (75-89%)
S1107,female,bachelor's degree,standard,completed,83.7,5.0,62.0,62.6,56.1,60.2,C,Good (75-89%)
S1108,male,some college,free/reduced,none,77.4,4.7,44.4,39.1,41.4,41.6,D,Good (75-89%)
S1109,female,associate's degree,standard,none,88.6,3.4,39.2,38.1,40.5,39.3,F,Good (75-89%)
S1110,male,bachelor's degree,free/reduced,completed,91.3,4.8,56.5,65.6,61.1,61.1,C,Excellent (90-100%)
S1111,female,some high school,standard,completed,86.8,8.5,76.3,79.7,66.2,74.1,C,Good (75-89%)
S1112,female,some high school,standard,completed,79.4,3.5,60.0,54.9,70.9,61.9,C,Good (75-89%)
S1113,male,some high school,standard,none,60.9,4.8,23.5,34.1,25.0,27.5,F,Average (60-74%)
S1114,female,associate's degree,standard,none,89.7,6.5,56.9,64.2,57.1,59.4,D,Good (75-89%)
S1115,female,some college,standard,completed,94.2,6.3,68.8,68.7,60.6,66.0,C,Excellent (90-100%)
S1116,male,associate's degree,standard,completed,88.4,4.0,53.8,48.8,49.9,50.8,D,Good (75-89%)
S1117,male,associate's degree,standard,completed,73.2,0.0,44.8,37.8,34.6,39.1,F,Average (60-74%)
S1118,male,high school,standard,none,88.7,5.0,53.4,49.9,47.7,50.3,D,Good (75-89%)
S1119,male,bachelor's degree,standard,none,90.6,0.0,55.4,55.9,55.6,55.6,D,Excellent (90-100%)
S1120,male,associate's degree,standard,completed,97.6,6.9,78.8,81.4,81.4,80.5,B,Excellent (90-100%)
S1121,female,high school,free/reduced,none,73.2,4.3,27.3,33.9,34.7,32.0,F,Average (60-74%)
S1122,female,high school,standard,completed,79.7,6.0,70.9,68.0,63.7,67.5,C,Good (75-89%)
